NG,NGT,NGR,NGTR,g2(0)
219610,1967,847,0,0.0
219580,1964,808,0,0.0
219220,1995,781,0,0.0
219452,1984,807,0,0.0
219374,1965,866,0,0.0
219376,1951,851,1,0.1321302583085838
219557,1933,830,0,0.0
218843,2057,847,2,0.2512146447268204
219698,1896,787,0,0.0
219780,1997,789,1,0.13948679673502648
219187,2000,819,1,0.1338137973137973
219038,1979,862,2,0.2568008169304378
219662,1970,817,0,0.0
220297,1899,820,1,0.1414717630588628
219077,1906,819,2,0.2806855031409071
218981,1991,839,1,0.13109110185345377
218296,1976,772,1,0.14310062721570765
218147,1921,821,2,0.27663601415472683
219757,1909,787,0,0.0
219320,1968,828,0,0.0
220396,2014,835,1,0.13105625888243375
219259,1904,812,1,0.14181901208759365
219784,1856,771,0,0.0
219756,1970,849,3,0.39417409553191873
219682,1879,814,2,0.28725876197935807
220286,1963,821,1,0.13668581299720842
218546,1905,861,0,0.0
220016,1868,822,3,0.4298597977461355
220244,1917,798,1,0.143972346097377
219348,1944,888,1,0.12706456456456455
218886,1975,829,0,0.0
219750,1992,821,0,0.0
219442,1900,822,0,0.0
219224,1929,773,0,0.0
220133,1952,794,1,0.14203155324771854
219335,1926,782,1,0.14562800604462292
218078,1975,772,1,0.14303010428280974
219754,1982,777,1,0.14269610536008115
219753,1872,823,0,0.0
220333,2006,880,1,0.12481476026466057
219679,1969,792,0,0.0
218641,1958,780,1,0.14316086535187658
219422,1948,813,0,0.0
219728,1902,807,0,0.0
219332,1915,857,2,0.2672898050458366
219733,1933,792,0,0.0
218918,1986,851,1,0.12953068660411363
221113,1987,854,0,0.0
218590,1962,815,1,0.13670162536037472
219038,1953,790,1,0.14196789100831567
219595,1868,810,0,0.0
219379,2002,800,0,0.0
220216,2006,818,2,0.2684074914620442
220490,1994,861,0,0.0
219141,2019,852,1,0.12739363371910511
219083,1945,817,1,0.13786912429636294
218684,1936,803,2,0.2813365169869189
219615,1909,821,0,0.0
219446,1972,843,1,0.13200585179463858
219639,1986,835,0,0.0
219468,1999,860,1,0.12766150517119024
219478,1881,801,2,0.2913397062815553
219648,1906,817,2,0.2821059823966319
219647,1954,784,1,0.1433787051156184
219600,2069,859,0,0.0
220057,1888,862,2,0.27043065987651893
219319,1922,854,0,0.0
219439,1898,816,2,0.28337233207297674
219611,1982,790,0,0.0
219308,1851,766,1,0.15467470127642527
220091,1923,818,0,0.0
219073,1953,787,0,0.0
219328,1963,845,0,0.0
220229,1964,827,1,0.1355899541197418
218722,1964,800,1,0.13920697556008146
219081,1971,832,0,0.0
220016,1967,805,0,0.0
219429,1967,836,0,0.0
219771,1970,832,0,0.0
219629,1889,819,0,0.0
219374,2027,874,2,0.24765663542180563
218709,1969,795,1,0.13971846641816074
219769,2018,848,0,0.0
220297,1952,825,1,0.1367964480874317
219481,1905,802,2,0.28731452209371583
220180,1904,815,1,0.14189049853070063
219300,1982,840,1,0.1317212051319014
219588,1958,758,1,0.14795399969275633
219173,2003,802,0,0.0
218702,2008,829,0,0.0
219841,2006,851,1,0.12877993516512742
219027,1934,815,2,0.2779160137291351
219490,1955,791,0,0.0
219633,1894,776,1,0.14943622834997114
219603,1987,815,1,0.1356072137606096
219364,1938,772,1,0.14662036071587076
219072,2035,825,0,0.0
218916,1994,821,1,0.13372394894794004
219329,1983,808,1,0.1368869299940584
219127,2035,817,2,0.2635963659219473
218914,2011,793,0,0.0
218212,1925,805,3,0.4224480116157135
220101,1952,800,0,0.0
219366,1938,833,0,0.0
218808,1965,877,2,0.2539399583939001
218956,1907,817,1,0.140534871525957
219499,1977,813,0,0.0
219178,1903,811,1,0.14201601339438735
218695,1929,809,0,0.0
219905,1891,816,1,0.14251265022137888
219671,2002,812,0,0.0
218658,1952,842,0,0.0
219180,1923,787,0,0.0
219169,1976,832,0,0.0
220274,1939,809,2,0.28084513381242865
218817,1928,830,0,0.0
218945,1997,841,2,0.26072997724886976
220345,1876,793,1,0.14811436422642688
219679,1924,810,0,0.0
219760,1938,851,2,0.26649883158161525
219854,2023,783,0,0.0
220009,1916,836,1,0.13735316298908212
219149,1858,853,0,0.0
220070,2018,805,2,0.27094041822356557
219281,1847,765,0,0.0
219623,1972,783,1,0.14223587439996477
219203,1928,833,1,0.13648799768870204
218959,1984,823,0,0.0
219422,2022,779,3,0.41791004978611396
219545,1949,833,1,0.13522802656208713
219670,1988,842,0,0.0
218255,1912,790,0,0.0
218963,1962,847,1,0.13176143659880107
218727,1927,801,0,0.0
219280,1910,827,1,0.13882259095829877
219429,1953,824,0,0.0
218902,1947,905,2,0.24846498508826442
220520,1921,829,0,0.0
218979,1943,776,1,0.1452338821357132
219550,1912,828,1,0.13868044185717462
219307,1977,804,0,0.0
220254,1935,873,0,0.0
219417,1998,797,0,0.0
219081,1934,856,3,0.3970047792092318
218360,1916,734,0,0.0
218968,1880,833,0,0.0
219101,1942,812,1,0.1389437784418075
220117,1925,832,0,0.0
219347,1979,858,2,0.2583619849915959
219102,1933,821,1,0.13806110045854014
220597,2054,818,2,0.26258859212033053
220109,2018,798,0,0.0
219756,1915,819,0,0.0
219864,1950,829,2,0.27201633107543843
220260,1916,820,0,0.0
219484,1964,811,0,0.0
219417,1967,797,1,0.13996117877220052
220253,1962,859,0,0.0
219306,1938,822,1,0.1376654388224748
219233,1910,841,0,0.0
219429,1921,792,1,0.14422530878803652
219270,1982,794,1,0.13933334519491544
